,text,author
0,Getting up at 5! a rare case for me. and that is also without any reason! Enjoying the morning after a long time.,17591594-b75c-47c2-be3e-5dcbe6c45286
1,"amar chokhe thont gaale tumi lege achho
amar angul haate kandhe tumi lege achho
amar deoyal ghorir kantay tumi lege achho.",17591594-b75c-47c2-be3e-5dcbe6c45286
2,@username Main hoon naa. don. veer zaara. heyy baby. unreleased don2,17591594-b75c-47c2-be3e-5dcbe6c45286
3,listening to the one song repeatedly for almost two hours. like it more I hear it.,17591594-b75c-47c2-be3e-5dcbe6c45286
4,"enjoyed the journey back from home. thanks to ""deoyal ghorir kanta"" and one who sent me the song.",17591594-b75c-47c2-be3e-5dcbe6c45286
5,Commemorating the day....,17591594-b75c-47c2-be3e-5dcbe6c45286
6,"""Joy of giving love is more than recieving."" really?",17591594-b75c-47c2-be3e-5dcbe6c45286
7,There was a time I wished somebody could understand me. But now no one can see beyond my mask .,17591594-b75c-47c2-be3e-5dcbe6c45286
8,The call that never came...,17591594-b75c-47c2-be3e-5dcbe6c45286
9,When someone talks to you smiling (unnecessarily) use a warning message that you are about to fall in a deep trouble.,17591594-b75c-47c2-be3e-5dcbe6c45286
10,I want to break the wall. I want to be free. This is just killing me.,17591594-b75c-47c2-be3e-5dcbe6c45286
11,There was a time when I thought myself perfect and did so much wrong. Now I realize how wrong I was. I am sorry........... all of you..,17591594-b75c-47c2-be3e-5dcbe6c45286
12,Now it is my turn...,17591594-b75c-47c2-be3e-5dcbe6c45286
13,Get ready for destruction...,17591594-b75c-47c2-be3e-5dcbe6c45286
14,And this is the over.... and the end is near...,17591594-b75c-47c2-be3e-5dcbe6c45286
15,@username good to hear that.,17591594-b75c-47c2-be3e-5dcbe6c45286
16,@username who got the lottery?,17591594-b75c-47c2-be3e-5dcbe6c45286
17,RT @username: RT @username: Happy Birthday Google. You have helped me look smarter than I am on several occasions.,17591594-b75c-47c2-be3e-5dcbe6c45286
18,Good to see smile back on the face of the dear ones.,17591594-b75c-47c2-be3e-5dcbe6c45286
19,Can someone plz do the coding for me... I am tired of doing the same thing again and again.,17591594-b75c-47c2-be3e-5dcbe6c45286
20,It seems the excitement around 'like' has ceased now. I knew this a long time ago.,17591594-b75c-47c2-be3e-5dcbe6c45286
21,"A not so great thought of a great person: ""After marriage life is going to be completely different adjusting... http://t.co/qdxbx9f1",17591594-b75c-47c2-be3e-5dcbe6c45286
22,"Well, finally bid good bye to a very close person. Don't know if we will meet again or not. Hope we do. Will miss you.",17591594-b75c-47c2-be3e-5dcbe6c45286
23,Am online in Facebook chat... after ages...,17591594-b75c-47c2-be3e-5dcbe6c45286
24,In a great mood... code running in the back ground...,17591594-b75c-47c2-be3e-5dcbe6c45286
25,All right... it's done.. so it is holidays......,17591594-b75c-47c2-be3e-5dcbe6c45286
26,"Returning home, tired, late. Worse: train is packed. Worst: clouds in the sky. The best combination for the worst journey back home.",17591594-b75c-47c2-be3e-5dcbe6c45286
27,Good morning. Got up early. A special day (not necessarily happy). Got some work to do as well.,17591594-b75c-47c2-be3e-5dcbe6c45286
28,Wore my favourite dress. After almost an year. Love everytime wearing dhoti. suits me as well.,17591594-b75c-47c2-be3e-5dcbe6c45286
29,"So another day passes by. Sometimes love, frnds.. these seems so childish. Better to be single.",17591594-b75c-47c2-be3e-5dcbe6c45286
30,The largest festival around this part of the country begins... Sometimes it seems such waste of money. But seeing... http://t.co/gMcE2Z6w,17591594-b75c-47c2-be3e-5dcbe6c45286
31,Went to local pandels today... saw 8+2 deities.... ;) liked d plus two. a long days ahead with plan finalised for... http://t.co/Eu1COX1M,17591594-b75c-47c2-be3e-5dcbe6c45286
32,Thank you guys... you made my day... Looking forward for more tomorrow...,17591594-b75c-47c2-be3e-5dcbe6c45286
33,The best day of the year undoubtably .... Ohhhh... I enjoyed it to the fullest. And Ganguly was the most wonderful... http://t.co/OeRWnXp6,17591594-b75c-47c2-be3e-5dcbe6c45286
34,A fresh and good morning... some experiences expected today... cant wait...,17591594-b75c-47c2-be3e-5dcbe6c45286
35,Well..... I enjoyed the day at Zoug... I guess spelling is correct. Enjoying the colorful night.,17591594-b75c-47c2-be3e-5dcbe6c45286
36,Well that is the end of the day... enuf of pandels and deities... went to some of the most incredible ones. Damn... http://t.co/oAFjSGIH,17591594-b75c-47c2-be3e-5dcbe6c45286
37,Reached home... Lying in my bed... sleep is nt far away.,17591594-b75c-47c2-be3e-5dcbe6c45286
38,Good morning and suvo maha navami... Today I need a break... Too much hectic 2 days...,17591594-b75c-47c2-be3e-5dcbe6c45286
39,"All right... sorry about an older post... I actually misspelled it. For the google buddies, now search with the... http://t.co/NvI573Aw",17591594-b75c-47c2-be3e-5dcbe6c45286
40,A very sleepy morning and just hours left before I go out for a small trip... feeling to sleep all day...,17591594-b75c-47c2-be3e-5dcbe6c45286
41,Yeppi.............. Good old (really??) starting days are back,17591594-b75c-47c2-be3e-5dcbe6c45286
42,"People think they are so good and perfect. If it was so they did not have so many problems in their lives. 

P.S. I am not perfect.",17591594-b75c-47c2-be3e-5dcbe6c45286
43,Now I am waiting to see a cat fight... In FB. Got trapped in your own trap I guess.,17591594-b75c-47c2-be3e-5dcbe6c45286
44,Gold is so easily available this days... Who complained about the price rise?,17591594-b75c-47c2-be3e-5dcbe6c45286
45,"A thought just before I sign out, I am the dumbest person in the world, and I make the same mistakes over and over again.",17591594-b75c-47c2-be3e-5dcbe6c45286
46,@username You dont hv any idea wht I am going through,17591594-b75c-47c2-be3e-5dcbe6c45286
47,Moral of the story. If a girl post anything confusing or even a garbage in FB it will get enuf comments so dat you... http://t.co/nWIWx7cj,17591594-b75c-47c2-be3e-5dcbe6c45286
48,Waiting for some jokes??? Just view some FB posts... hillarious.,17591594-b75c-47c2-be3e-5dcbe6c45286
49,At Chakradharpur. Feeling tired after a long journey. Hope to be a pleasant day today.,17591594-b75c-47c2-be3e-5dcbe6c45286
50,A break in the busy life. Strike makes it possible. Loving it. also enjoying doing fb.,17591594-b75c-47c2-be3e-5dcbe6c45286
51,Finally free... got rid of it.,17591594-b75c-47c2-be3e-5dcbe6c45286
52,@username what u said is nt clear.,17591594-b75c-47c2-be3e-5dcbe6c45286
53,Best way to win for RCB. Allow the opposite team 200 runs.,17591594-b75c-47c2-be3e-5dcbe6c45286
54,Splendid Hirni... will post photos soon.,17591594-b75c-47c2-be3e-5dcbe6c45286
55,End of day and end of Journey what is full of some wonderful views. Cannot post now aas no computer is available.... http://t.co/yaW1HhTf,17591594-b75c-47c2-be3e-5dcbe6c45286
56,Had a very loud and provocative alteration with someone I really respect a lot. When shall I be able to control... http://t.co/UK0zfczx,17591594-b75c-47c2-be3e-5dcbe6c45286
57,@username I just lost my cool... forget n forgive...,17591594-b75c-47c2-be3e-5dcbe6c45286
58,while in roaming... osn is the best way to communicate.,17591594-b75c-47c2-be3e-5dcbe6c45286
59,just too much heat taking its toll. feeling exhausted.... still felt good to be back in WB. seems so much at home.,17591594-b75c-47c2-be3e-5dcbe6c45286
60,Back home. just enjoying doing nothing.,17591594-b75c-47c2-be3e-5dcbe6c45286
61,Monday blues... now I know it. Must recover quickly or hv to see red all day.,17591594-b75c-47c2-be3e-5dcbe6c45286
62,"Just a simple thought, not necessarily correct, people access online social networks more when they feel alone and sad...",17591594-b75c-47c2-be3e-5dcbe6c45286
63,@username the whole thing is that ke bhaiya... I am also using it...,17591594-b75c-47c2-be3e-5dcbe6c45286
64,@username I am also using the OSN so much... what do you think the reason is?,17591594-b75c-47c2-be3e-5dcbe6c45286
65,@username well... sort of...,17591594-b75c-47c2-be3e-5dcbe6c45286
66,"@username ha ha... if I dont use OSN, hw ud I knw wht u say..",17591594-b75c-47c2-be3e-5dcbe6c45286
67,How to do it??? It's a mystery... and I dont know the solution,17591594-b75c-47c2-be3e-5dcbe6c45286
68,All right... I don'r want to know.,17591594-b75c-47c2-be3e-5dcbe6c45286
69,All right. I don't want to know.,17591594-b75c-47c2-be3e-5dcbe6c45286
70,Not feeling well... A lot left to do as well. huh... I thought I was just ok with what I am now.,17591594-b75c-47c2-be3e-5dcbe6c45286
71,In the middle of too much controversy the original reason to create the page got lost. Hopefully we start it from tomorrow.,17591594-b75c-47c2-be3e-5dcbe6c45286
72,Good morning guys... feeling better today... Expect some bombardment today...,17591594-b75c-47c2-be3e-5dcbe6c45286
73,The best picture taken by me till date... http://t.co/0BjRU0N2,17591594-b75c-47c2-be3e-5dcbe6c45286
74,the question is who is the 5th one? tweet people plz ignore it.,17591594-b75c-47c2-be3e-5dcbe6c45286
75,"New facebook mantra: ""The enemy of my enemy is my friend"".",17591594-b75c-47c2-be3e-5dcbe6c45286
76,"Okk... thought of the day... ""LOVE"" is not saying ""I Love You"" everyday. Rather it is to mean it...",17591594-b75c-47c2-be3e-5dcbe6c45286
77,All right GN folks.. take care... May be I need it most.,17591594-b75c-47c2-be3e-5dcbe6c45286
78,"Hello and good morning... Heavy head feeling... and not a hangover (I swear I didnt drink). I need some pure rest, I guess.",17591594-b75c-47c2-be3e-5dcbe6c45286
79,"OK.. start the day with a disputed statement. People say they are modern, but they allow others to be modern only... http://t.co/9FqQv8wj",17591594-b75c-47c2-be3e-5dcbe6c45286
80,"Sometimes I feel good to be busy, but at the end of the day I really feel very weak.",17591594-b75c-47c2-be3e-5dcbe6c45286
81,"It feels good when you are surrounded by happy faces. None likes others to cry, I wish all my friends gets happy.",17591594-b75c-47c2-be3e-5dcbe6c45286
82,"Good morning... The first question remains ""What is so god about this morning?"".",17591594-b75c-47c2-be3e-5dcbe6c45286
83,Feeling so tired mentally and somewhat physically as well that I am not in mood to get into any more trouble... Please leave me alone...,17591594-b75c-47c2-be3e-5dcbe6c45286
84,"I need a govt job. So no headaches, no burdens, no workload; best part, long idle times...",17591594-b75c-47c2-be3e-5dcbe6c45286
85,Copy paste... cholchhe.. cholbe..,17591594-b75c-47c2-be3e-5dcbe6c45286
86,feeling weak... n hv to keep going for another hour. plz.... help me.,17591594-b75c-47c2-be3e-5dcbe6c45286
87,Feeling better.. Though hv fever. Hv to be fit b4 tomorrow.,17591594-b75c-47c2-be3e-5dcbe6c45286
88,Don't hesitate to take the opportunities when you have some. You may not have again when you need them.,17591594-b75c-47c2-be3e-5dcbe6c45286
89,Listening to FM after ages (not literally). Good to hear some fav numbers...,17591594-b75c-47c2-be3e-5dcbe6c45286
90,Missing a friend very much... somebody inform her...,17591594-b75c-47c2-be3e-5dcbe6c45286
91,Seeing a doctor... :( no other option. Have to go to ISI tomorrow at any cost.,17591594-b75c-47c2-be3e-5dcbe6c45286
92,Morning guys... not so good for me ofcrs. Good to see some frnds njoyin life finding touchy stories what they want in their lives as well.,17591594-b75c-47c2-be3e-5dcbe6c45286
93,interesting. A post here got completely unnoticed whereas when the same posted by a girl in her FB wall got 9... http://t.co/3cPzCd1r,17591594-b75c-47c2-be3e-5dcbe6c45286
94,"hitting the road again. always liked the journey through national highway at night even it is on 79. chhote log, chhote batein.",17591594-b75c-47c2-be3e-5dcbe6c45286
95,Eventually made time to hear my fav singer's song with full concentration and getting the meaning. sheer... http://t.co/Vl8rsGaW,17591594-b75c-47c2-be3e-5dcbe6c45286
96,Listening to my two fav singers of Bangla and English. Enjoyed the the journey apart from the pollution saying welcome to Kolkata.,17591594-b75c-47c2-be3e-5dcbe6c45286
97,Back to semi normal life. But surely need more rest than anything else.,17591594-b75c-47c2-be3e-5dcbe6c45286
98,Really weakened by the virus. cannot sit for long.,17591594-b75c-47c2-be3e-5dcbe6c45286
99,How to treat someone who calls you when you are fast asleep with 101 fvr? This is what I could do best.,17591594-b75c-47c2-be3e-5dcbe6c45286
0,The fact that I have to sleep by myself tonight. <<<<<<< ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
1,"When people tell me I'm muggin all the time. No I'm not, that's just how my face looks expressionless. There's a difference.",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
2,"Bitches be impressed by the most simplest shit. Like nigga pull up in a Audi for me & then I'm impressed. Flowers don't phase me, never did.",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
3,If you sub tweet someone that don't follow you or don't be on twitter. YOU'RE FUCKIN SCARY. ????????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
4,I been wearing my glasses for 3 days straight. I took them hoes off & couldn't see shit.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
5,This weekend finna be >>>>>>>>>>>>>> ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
6,Why won't these chargers stay IN THIS FUCK ASS WALL!!!!!!! ???? it's bed time for I punch a hole in the wall. ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
7,Wtf don't my job understand about days off. If I'm off that don't mean you can call me in. Tf. I hate tht shit with a passion.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
8,Auto Zone right now <<<<<<<< ????????????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
9,Discovery Channel >>>>>> shit be on point.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
10,I'm really craving some noodles in a cup & I don't eat noodles like that. #Weird,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
11,"Damn, when it's gone rain?? I don't feel like taking my car to the car wash. Lmao.... ???????????? #ImSoSeriousTho",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
12,My car dirty afffffff. Inside & out. My parents would ring my neck if they seen it. Lol.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
13,Serena & me childish af!! It's too early to be gettin this weak. ????????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
14,It feels good to finally lay down but not without you next to me. ???? #GoodNightFuckas,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
15,I suck so bad at texting.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
16,@username lol shut up!! I jus forget to text back.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
17,It's just snuggles & me tonight.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
18,"Mann, I'm just tryna drink to get this shit off my mind. ????",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
19,I SWEAR TO GOD EVERYONE IN SAN ANGELO DRIVE LIKE PUSSIES!! ????????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
20,IHOP with my boooo. @username We finna fuck some shit up.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
21,I don't fuck with twitter no more. I been neglecting my phone period.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
22,Either I need to find my glasses or make an appointment to get some new ones. Them hoes M.I.A & I NEED them. ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
23,The struggle of being blind. <<<<<<<< ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
24,Tommy right now <<<<<. ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
25,I don't feel like being at work. I just want to sleep. I'm soo tired. ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
26,It's all about me now. I gotta do what I gotta do to make it in this world & make sure that I'm okay. #MeMyself&I,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
27,I'm hungry denna bitch. One more class & I can go smash some shit.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
28,Me & my dad got into a big argument & he apologized. That's the first time I ever heard my daddy say I'm sorry. Means a lot. #MyNigga ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
29,@username lmao. I forgot all about that.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
30,I'm hungry & I want some chocolate chip cookies & I want to go home. I was not tryna come to work today.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
31,Let me find out what I just did ain't in my job description. I'm checkin some shit. #GotMeFuckedUp,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
32,I just want a big fat ass chocolate chip cookie.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
33,When my daddy calls my lil Regina......  ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
34,What I woke up to this morning >>>>>>>>>>>>>>>>>> ????????????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
35,"It took me 20 minutes to figure out how to reset my oil life since I got a oil change. Tf, it shouldn't have to be that hard. ????",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
36,When irrelevant niggas text me tryna argue <<<<< #YoureDismissed #HoeAssNigga,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
37,These 2 days sleeping by myself is finna be hell!! ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
38,"I want to take my weave out for a little while, but dealing with my hair is a real struggle. I gotta big head with too much hair. ????",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
39,"Damn I ain't had corn in a cup in a while. That's my mission tomorrow, find some corn in a cup.",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
40,Sometimes I wish I didn't have a car. Or better yet everyone I fucked with had a car. ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
41,Fuck wrong with my phone. It's always some bullshit with this stupid ass brick!!,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
42,"When bitches constantly talk about how much they don't need their ex, STFU if you don't need him then show it. Stop said it every 5 seconds.",bb88ec91-6085-4a89-94e0-6ae12a3afd3a
43,I just had to say a prayer for my life. lol.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
44,Lizzie in here killin the game. ????????????@username,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
45,Throw dat ass Lizzie!! ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
46,When I wake Tommy up & he goes back to sleep......... ????????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
47,Dareus's paper he wrote for his English class >>>>>>>>>>,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
48,I'm too hungry right now.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
49,If you ain't happy with your life then you ain't livin right. ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
50,Watching Superman for the billionth time.,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
51,One class tomorrow & no test >>>> ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
52,47 daysssss. #MyBirthday #20 ????????????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
53,My life >>>>> ????,bb88ec91-6085-4a89-94e0-6ae12a3afd3a
